"word","n","relative_frequency"
"tomó",69,0.000178409825468649
"vestido",69,0.000178409825468649
"bosque",68,0.000175824175824176
"hazañas",68,0.000175824175824176
"mandó",68,0.000175824175824176
"noticia",68,0.000175824175824176
"amigos",67,0.000173238526179703
"creer",67,0.000173238526179703
"discurso",67,0.000173238526179703
"mayores",67,0.000173238526179703
"pasado",67,0.000173238526179703
"querría",67,0.000173238526179703
"andar",66,0.000170652876535229
"espaldas",66,0.000170652876535229
"hago",66,0.000170652876535229
"leer",66,0.000170652876535229
"virtud",66,0.000170652876535229
"ánimo",66,0.000170652876535229
"antonio",65,0.000168067226890756
"barbas",65,0.000168067226890756
"dije",65,0.000168067226890756
"escuderos",65,0.000168067226890756
"esperar",65,0.000168067226890756
"grandeza",65,0.000168067226890756
"muestras",65,0.000168067226890756
"sangre",65,0.000168067226890756
"silla",65,0.000168067226890756
"altisidora",64,0.000165481577246283
"criados",64,0.000165481577246283
"culpa",64,0.000165481577246283
"encantadores",64,0.000165481577246283
"lanza",64,0.000165481577246283
"llamaba",64,0.000165481577246283
"maese",64,0.000165481577246283
"principio",64,0.000165481577246283
"querer",64,0.000165481577246283
"señal",64,0.000165481577246283
"verde",64,0.000165481577246283
"ansí",63,0.00016289592760181
"edad",63,0.00016289592760181
"enamorado",63,0.00016289592760181
"enemigo",63,0.00016289592760181
"carrasco",62,0.000160310277957337
"daño",62,0.000160310277957337
"dormir",62,0.000160310277957337
"dónde",62,0.000160310277957337
"hijos",62,0.000160310277957337
"oyendo",62,0.000160310277957337
"temor",62,0.000160310277957337
"valiente",62,0.000160310277957337
"azotes",61,0.000157724628312864
"compañía",61,0.000157724628312864
"consejo",61,0.000157724628312864
"consigo",61,0.000157724628312864
"diez",61,0.000157724628312864
"ningún",61,0.000157724628312864
"obra",61,0.000157724628312864
"obras",61,0.000157724628312864
"pastor",61,0.000157724628312864
"queda",61,0.000157724628312864
"resolución",61,0.000157724628312864
"sola",61,0.000157724628312864
"acabó",60,0.00015513897866839
"diese",60,0.00015513897866839
"dolor",60,0.00015513897866839
"haciendo",60,0.00015513897866839
"hallado",60,0.00015513897866839
"provecho",60,0.00015513897866839
"renegado",60,0.00015513897866839
"sobrina",60,0.00015513897866839
"trata",60,0.00015513897866839
"aldea",59,0.000152553329023917
"cuyo",59,0.000152553329023917
"dineros",59,0.000152553329023917
"hambre",59,0.000152553329023917
"libre",59,0.000152553329023917
"nueva",59,0.000152553329023917
"pasaba",59,0.000152553329023917
"presente",59,0.000152553329023917
"quedaron",59,0.000152553329023917
"suelen",59,0.000152553329023917
"diga",58,0.000149967679379444
"encantado",58,0.000149967679379444
"hallar",58,0.000149967679379444
"letras",58,0.000149967679379444
"llama",58,0.000149967679379444
"media",58,0.000149967679379444
"mirar",58,0.000149967679379444
"necesidad",58,0.000149967679379444
"oídos",58,0.000149967679379444
"principal",58,0.000149967679379444
"venga",58,0.000149967679379444
"vieron",58,0.000149967679379444
"alta",57,0.000147382029734971
"caer",57,0.000147382029734971
"destos",57,0.000147382029734971
"dijese",57,0.000147382029734971
"esposo",57,0.000147382029734971
"licenciado",57,0.000147382029734971
"poeta",57,0.000147382029734971
"discreción",56,0.000144796380090498
"gigante",56,0.000144796380090498
"lado",56,0.000144796380090498
"oficio",56,0.000144796380090498
"plática",56,0.000144796380090498
"quitar",56,0.000144796380090498
"reina",56,0.000144796380090498
"veinte",56,0.000144796380090498
"dueñas",55,0.000142210730446025
"ejercicio",55,0.000142210730446025
"encima",55,0.000142210730446025
"lejos",55,0.000142210730446025
"lleno",55,0.000142210730446025
"princesa",55,0.000142210730446025
"reales",55,0.000142210730446025
"responder",55,0.000142210730446025
"vencido",55,0.000142210730446025
"acaso",54,0.000139625080801551
"aire",54,0.000139625080801551
"blanca",54,0.000139625080801551
"carro",54,0.000139625080801551
"contó",54,0.000139625080801551
"darle",54,0.000139625080801551
"esperando",54,0.000139625080801551
"llamar",54,0.000139625080801551
"mirando",54,0.000139625080801551
"risa",54,0.000139625080801551
"sacar",54,0.000139625080801551
"segunda",54,0.000139625080801551
"basilio",53,0.000137039431157078
"cuidado",53,0.000137039431157078
"dejando",53,0.000137039431157078
"dentro",53,0.000137039431157078
"destas",53,0.000137039431157078
"fuego",53,0.000137039431157078
"hacienda",53,0.000137039431157078
"miedo",53,0.000137039431157078
"montesinos",53,0.000137039431157078
"mujeres",53,0.000137039431157078
"poca",53,0.000137039431157078
"prosiguió",53,0.000137039431157078
"quieres",53,0.000137039431157078
"servir",53,0.000137039431157078
"verdadera",53,0.000137039431157078
"versos",53,0.000137039431157078
"acabar",52,0.000134453781512605
"acuerdo",52,0.000134453781512605
"asimismo",52,0.000134453781512605
"claro",52,0.000134453781512605
